Followers,Total Videos,Upload Year,Upload Month,Upload Day,Upload Weekday,Engagement Rate,Number of Hashtags,Upload_Afternoon,Upload_Evening,Upload_Midnight,Upload_Morning
141200,25,2020,6,21,7,0.0162677053824362,0,0,0,1,0
141200,25,2020,6,10,3,0.0140084985835694,0,0,1,0,0
141200,25,2020,5,23,6,0.0279107648725212,0,1,0,0,0
141200,25,2020,5,16,6,0.0182011331444759,0,0,1,0,0
141200,25,2020,5,8,5,0.0491643059490084,0,1,0,0,0
141200,25,2020,4,21,2,0.0370609065155807,1,0,0,1,0
141200,25,2020,4,13,1,0.0373512747875354,0,0,0,1,0
141200,25,2020,4,12,7,0.008413597733711,0,1,0,0,0
141200,25,2020,4,5,7,0.0638314447592068,1,1,0,0,0
141200,25,2020,3,27,5,0.0514518413597733,1,0,1,0,0
141200,25,2020,3,21,6,0.0217917847025495,1,1,0,0,0
141200,25,2020,3,15,7,0.0831161473087818,0,1,0,0,0
11200000,134,2020,11,4,3,0.0233935714285714,1,0,1,0,0
11200000,134,2020,11,3,2,0.0104933928571428,3,0,1,0,0
11200000,134,2020,10,30,5,0.0172733928571428,5,1,0,0,0
11200000,134,2020,10,28,3,0.0112378571428571,5,0,0,1,0
11200000,134,2020,10,27,2,0.0032755357142857,4,0,1,0,0
11200000,134,2020,10,26,1,0.0603780357142857,4,0,1,0,0
11200000,134,2020,10,24,6,0.0045213392857142,6,1,0,0,0
11200000,134,2020,10,24,6,0.0059854464285714,5,0,0,1,0
11200000,134,2020,10,23,5,0.0225999107142857,4,1,0,0,0
11200000,134,2020,10,22,4,0.0194623214285714,6,0,1,0,0
11200000,134,2020,10,8,4,0.0986710714285714,3,0,1,0,0
11200000,134,2020,10,6,2,0.0298097321428571,4,1,0,0,0
11200000,134,2020,10,5,1,0.0272040178571428,4,0,1,0,0
11200000,134,2020,9,25,5,0.0425304464285714,5,0,1,0,0
11200000,134,2020,9,5,6,0.0220803571428571,5,0,0,1,0
11200000,134,2020,9,1,2,0.0238783928571428,5,1,0,0,0
11200000,134,2020,8,24,1,0.0473117857142857,4,0,1,0,0
11200000,134,2020,8,20,4,0.05836375,4,1,0,0,0
11200000,134,2020,8,13,4,0.0368092857142857,4,0,0,1,0
11200000,134,2020,8,4,2,0.0238296428571428,5,0,1,0,0
11200000,134,2020,8,4,2,0.0513870535714285,5,0,0,1,0
11200000,134,2020,8,1,6,0.0154275892857142,3,1,0,0,0
11200000,134,2020,7,29,3,0.0175041071428571,4,0,1,0,0
11200000,134,2020,7,27,1,0.0394320535714285,3,0,1,0,0
5400000,74,2020,10,22,4,0.0696307407407407,0,0,1,0,0
5400000,74,2020,9,28,1,0.0630537037037037,0,0,1,0,0
5400000,74,2020,9,26,6,0.0372012962962962,0,0,0,1,0
5400000,74,2020,9,7,1,0.0811812962962963,0,0,1,0,0
5400000,74,2020,9,6,7,0.0359581481481481,0,0,0,0,1
5400000,74,2020,9,4,5,0.0529433333333333,0,0,1,0,0
5400000,74,2020,9,3,4,0.0470151851851851,1,0,1,0,0
5400000,74,2020,8,31,1,0.0456261111111111,0,0,0,0,1
5400000,74,2020,8,27,4,0.0502396296296296,1,0,1,0,0
5400000,74,2020,8,5,3,0.0621453703703703,1,0,1,0,0
5400000,74,2020,7,25,6,0.0659562962962962,3,0,1,0,0
5400000,74,2020,7,22,3,0.0673525925925925,2,0,0,1,0
5400000,74,2020,7,18,6,0.0562981481481481,0,0,0,1,0
5400000,74,2020,7,14,2,0.0870816666666666,0,0,0,1,0
5400000,74,2020,7,9,4,0.1013116666666666,0,0,0,1,0
5400000,74,2020,7,2,4,0.0573681481481481,0,0,0,0,1
5400000,74,2020,6,27,6,0.0555577777777777,0,0,0,1,0
1700000,22,2020,11,5,4,0.02121,13,0,1,0,0
1700000,22,2020,10,31,6,0.0417188235294117,15,0,1,0,0
1700000,22,2020,10,17,6,0.017755294117647,15,0,1,0,0
1700000,22,2020,9,21,1,0.0087523529411764,7,0,1,0,0
1700000,22,2020,9,18,5,0.0192494117647058,3,0,1,0,0
1700000,22,2020,8,21,5,0.0099494117647058,3,0,1,0,0
1700000,22,2020,8,16,7,0.0101041176470588,11,0,1,0,0
1700000,22,2020,7,18,6,0.030175294117647,16,0,0,1,0
1700000,22,2020,7,16,4,0.0086876470588235,13,0,0,1,0
1700000,22,2020,7,8,3,0.0315341176470588,12,0,0,1,0
1700000,22,2020,6,23,2,0.0971382352941176,11,0,1,0,0
1700000,22,2020,6,19,5,0.0556423529411764,14,0,1,0,0
1700000,22,2020,6,13,6,0.0143535294117647,4,0,1,0,0
1700000,22,2020,6,12,5,0.0651558823529411,6,0,0,1,0
1700000,22,2020,6,7,7,0.0174994117647058,10,0,1,0,0
1700000,22,2020,6,7,7,0.0773629411764705,8,0,1,0,0
1700000,22,2020,5,31,7,0.0422788235294117,8,0,1,0,0
1700000,22,2020,5,31,7,0.0334382352941176,7,0,1,0,0
708200,9,2020,7,20,1,0.0846950014120305,0,1,0,0,0
708200,9,2020,7,6,1,0.0964374470488562,0,1,0,0,0
708200,9,2020,5,20,3,0.009390002824061,1,1,0,0,0
708200,9,2020,2,27,4,0.0207681445919231,0,0,0,1,0
